2017112204p数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2014-3-01_2014-4-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-4-01_2014-5-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2014-8-01_2014-9-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2015-2-01_2015-3-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2015-3-01_2015-4-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2015-4-01_2015-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2015-6-01_2015-7-01_NDWI_30m",27.1791,0.631984,3869.46,2.16815,84.1976
"监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2016-4-01_2016-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",0.446474,0.306738,3867.58,0.289614,7.89352
"监测时间：Lan7_2016-6-01_2016-7-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2016-10-01_2016-11-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2016-11-01_2016-12-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,60.5170
"监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,47.3611
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m",1.36701,0.426349,3867.78,0.480449,10.5247
"监测时间：Lan7_2018-6-01_2018-7-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
